english,korean
gambae,감놔라배놔라
Cystic,
Chylous reflux,
Hydrocele,음낭수종
testis,고환
organ,기관 or 장기
lymphatics,림프관
disease patterns,질병 패턴
interstitial collagenase,간질 콜라겐분해효소
low-output failure,저출력 부전(low-output failure)
cutis,
tumor-induced angiogenesis,
lobule(s),소엽
lymphostatic hemangiopathy,
lymphangiopathy,
hemangiopathy,
lymphonodopathy,
neuropathy,신경병증
arthropathy,관절병증
tendonitis,건염
ligamentitis,인대염
periostitis,골막염
encephalopathy,뇌병증
hemangiogenesis,
ophthalmopathy,안병증
enteropathy,장병증
hydrocele testis,고환 수종
Periosteum,골막
chylothorax,유미흉
chylopericardium,유미심막
chyloperitoneum,유미복막
smooth muscle fibers,평활근섬유
postganglionic sympathetic nerve fibers,
innervate,
parasympathetic fibers,부교감신경섬유
afferent fibers,구심성 섬유
vessel wall,혈관벽
resistance vessels,저항혈관
metarterioles,후세동맥
adhesive junctions,접착연접
tight junctions,치밀연접
peptide,펩타이드
sinusoids,"정맥동, 동굴모양, 동양"
endothelial disjunction,내피 분단
Interstitium,간질
interfibrillar matrix,섬유사간 기질
reticular fibers,망상섬유
lattice fibers,격자섬유
lymph capillary(ies),림프모세관
immunohistochemical markers,면역조직화학적 표지자(immunohistochemical markers)
lymphatic organs,림프기관
spongiosa,해면체
downstream,
Bronchus-associated lymphatic tissue,기관지관련림프조직
lymphoglandular complexes,
lymphoepithelium,림프상피
erythropoeisis,적혈구생성(erythropoeisis)
stem cell(s),줄기세포
leukopoesis,백혈구생성(leukopoesis)
natural killer cells,자연살해세포
collateralization,
precursor cell,전구세포
progenitor cell,전구 세포
sternum,흉골
upper thoracic aperture,흉곽상개구(upper thoracic aperture)
alpha-4 integrin,α-4 인테그린
VCAM1,VCAM-1
medulla,수질
cell-mediated immune response,세포매개 면역반응
immune response,면역반응
organ capsule,장기 피막
basic framework,
epithelial cells,상피세포
dendritic cell(s),수지상세포
haptens,합텐(haptens)
granulocyte,
coagulation system,
arachidonic acid metabolism,아라키돈산 대사
precapillary(ies),전모세혈관
helper T cell,TH 세포(H 아래 첨자)
lymph vascular system,
perivascular connective tissue,혈관주위 결합조직
pathophysiology,
Physiology,생리학
postcapillary venules,후모세혈관 세정맥
thymocyte(s),흉선세포
basal lamina,기저층
Epithelial reticulum,상피 그물
Perivascular space,혈관주위 공간
lymphatic cell(s),림프 세포
subcapsular cortex,피막하 피질
T-protolymphocytes,T-프로토림프구(T-protolymphocytes)
lymphoblasts,림프모세포
blastic transformation,아세포성 전환
clonic proliferation,클론증식
apoptosis,세포자멸사
macrophage(s),대식세포
urogenital tract,
primary (central) lymphatic organs,
secondary (peripheral) lymphatic organs,이차(말초) 림프성 기관
vena cava superior,상대정맥
vena cava inferior,하대정맥
venous valves,정맥 판막
channel,
receptor,수용체 or 수용기
gene complex,유전자 복합체
immune tolerance,면역관용
negative selection,음성 선택(negative selection)
pre-malignant,
positive selection,양성 선택(positive selection)
lymphatic tissue,림프성 조직
lymph vessels,림프관
initial lymph vessel(s),초급 림프관(initial lymph vessels)
trabecular veins,섬유주정맥
interlobular septa veins,소엽간중격정맥
thymic vein,흉선정맥
"Pericellular spaces ",세포주위 공간
superior thymic lymph nodes,상흉선림프절
venous angle,정맥각
tracheobronchial chain,기관기관지 림프절 연쇄(tracheobronchial chain)
thyroid gland,갑상선
subclavian vein,쇄골하정맥
thoracic duct,흉관
medial thymic lymph nodes,내흉선림프절
parasternal lymph nodes,흉골주위림프절
retromanubrial lymph nodes,흉골병후림프절
retrothymic lymph nodes,흉선후림프절
superior prepericardiac lymph nodes,상심막전림프절
inferior prepericardiac lymph nodes,하심막전림프절
bronchomediastinal trunk,기관지종격 림프간
Pericardium,심막
splenic pulp,
lymphoreticular organ,림프망상계 기관
reticulum cells,망상세포
splenic sinuses,비장동(splenic sinuses)
periarterial lymphocyte sheaths (PALS),동맥주위 림프구 피막(PALS)
splenic nodules,비장소절
malpighian corpuscles,말피기안 소체
crypt epithelial cell,
lymphatic infiltrates,
chronic inflammatory intestinal diseases,
hematogenous metastases,
pre-immune phase,
lymph node metastases,
generalized obesity,
veno-arteriolar reflex,
de novo,
limbus cornea,
ambulatory venous hypertension,
,
professional literature,
great saphenous vein,
